word,valence,arousal,dominance,trust
cauldron,0.51,0.486,0.418,0.0
cauliflower,0.448,0.255,0.231,0.0
caulk,0.367,0.5,0.418,0.0
causal,0.562,0.367,0.491,0.0
causality,0.5,0.378,0.336,0.0
causation,0.562,0.48,0.567,0.0
cause,0.469,0.373,0.486,0.0
caused,0.344,0.52,0.382,0.0
causeway,0.453,0.382,0.422,0.0
caution,0.552,0.712,0.547,0.0
cautionary,0.51,0.541,0.519,0.0
cautious,0.47,0.445,0.517,0.461
cautiously,0.51,0.388,0.525,0.0
cavalier,0.735,0.462,0.713,0.0
cavalry,0.667,0.727,0.794,0.0
cave,0.459,0.333,0.38,0.0
caveat,0.344,0.629,0.484,0.0
caveman,0.235,0.644,0.482,0.0
cavern,0.323,0.36,0.365,0.0
cavernous,0.354,0.548,0.462,0.0
caviar,0.906,0.394,0.481,0.0
caving,0.378,0.491,0.551,0.0
cavity,0.466,0.385,0.379,0.0
cayenne,0.615,0.306,0.355,0.0
cease,0.388,0.25,0.42,0.0
ceasefire,0.542,0.594,0.567,0.0
ceaseless,0.378,0.704,0.658,0.0
cedar,0.56,0.267,0.577,0.0
cede,0.275,0.327,0.402,0.0
ceiling,0.52,0.224,0.366,0.0
celebrant,0.865,0.656,0.643,0.0
celebrate,0.917,0.857,0.859,0.0
celebrated,0.875,0.69,0.763,0.0
celebrating,0.927,0.86,0.773,0.0
celebration,0.939,0.824,0.88,0.523
celebrations,0.958,0.794,0.714,0.0
celebratory,0.857,0.653,0.845,0.0
celebrity,0.76,0.619,0.855,0.273
celery,0.396,0.147,0.223,0.0
celestial,0.817,0.36,0.731,0.0
celibacy,0.302,0.276,0.509,0.0
celibate,0.419,0.387,0.391,0.0
cell,0.541,0.375,0.465,0.0
cellar,0.51,0.277,0.406,0.0
cellblock,0.186,0.57,0.5,0.0
cellist,0.667,0.5,0.486,0.0
cellmate,0.167,0.684,0.349,0.0
cello,0.635,0.324,0.528,0.0
cellophane,0.648,0.282,0.289,0.0
cellular,0.643,0.398,0.517,0.0
cellulite,0.2,0.384,0.256,0.0
celluloid,0.469,0.44,0.425,0.0
cement,0.544,0.265,0.527,0.336
cemented,0.429,0.382,0.537,0.0
cemetery,0.051,0.63,0.417,0.0
censor,0.344,0.276,0.538,0.211
censorship,0.219,0.698,0.421,0.0
censure,0.219,0.653,0.417,0.0
census,0.449,0.289,0.553,0.0
cent,0.439,0.367,0.402,0.0
centenary,0.604,0.44,0.642,0.0
centennial,0.583,0.394,0.7,0.0
center,0.643,0.231,0.431,0.531
centerfold,0.571,0.407,0.485,0.0
centerpiece,0.594,0.208,0.52,0.0
centimeter,0.427,0.28,0.38,0.0
centipede,0.296,0.399,0.361,0.0
central,0.64,0.356,0.621,0.0
centrality,0.571,0.312,0.709,0.0
centralization,0.521,0.44,0.702,0.0
centralize,0.684,0.427,0.802,0.0
centrally,0.729,0.28,0.7,0.0
centrifugal,0.306,0.651,0.48,0.0
centrifuge,0.495,0.622,0.527,0.0
centurion,0.59,0.447,0.696,0.0
century,0.407,0.347,0.735,0.0
ceramic,0.521,0.255,0.371,0.0
ceramics,0.573,0.25,0.373,0.0
cereal,0.612,0.206,0.316,0.0
cereals,0.719,0.224,0.311,0.0
cerebral,0.408,0.509,0.627,0.0
ceremonial,0.771,0.54,0.691,0.0
ceremony,0.76,0.559,0.761,0.0
certain,0.76,0.358,0.673,0.0
certainty,0.781,0.4,0.769,0.0
certifiable,0.714,0.427,0.662,0.0
certificate,0.786,0.377,0.746,0.0
certified,0.781,0.422,0.806,0.695
certify,0.866,0.4,0.746,0.625
cervical,0.375,0.413,0.445,0.0
cervix,0.429,0.36,0.34,0.0
cess,0.427,0.375,0.406,0.0
cessation,0.414,0.385,0.358,0.0
cesspool,0.167,0.46,0.409,0.0
cha cha,0.714,0.546,0.324,0.0
chaff,0.333,0.327,0.188,0.0
chafing,0.43,0.415,0.368,0.0
chagrin,0.104,0.704,0.472,0.0
chagrined,0.112,0.745,0.361,0.0
chai,0.5,0.375,0.363,0.0
chain,0.378,0.5,0.547,0.0
chainsaw,0.367,0.804,0.636,0.0
chair,0.562,0.082,0.276,0.0
chairman,0.656,0.567,0.933,0.492
chairperson,0.73,0.657,0.966,0.0
chairwoman,0.719,0.664,0.953,0.453
chaise,0.406,0.349,0.327,0.0
chalet,0.653,0.349,0.278,0.0
chalice,0.633,0.286,0.529,0.0
chalk,0.385,0.185,0.121,0.0
challenge,0.469,0.922,0.713,0.0
challenger,0.417,0.755,0.652,0.0
chamber,0.583,0.373,0.455,0.0
chambermaid,0.594,0.375,0.336,0.0
chambers,0.542,0.442,0.388,0.0
chameleon,0.49,0.58,0.345,0.0
champ,0.854,0.754,0.896,0.0
champagne,0.76,0.6,0.454,0.0
champion,0.89,0.88,0.945,0.641
championship,0.833,0.8,0.88,0.0
chance,0.833,0.551,0.525,0.0
chancellor,0.646,0.5,0.887,0.445
chandelier,0.615,0.542,0.366,0.0
chandler,0.51,0.452,0.454,0.391
change,0.625,0.575,0.606,0.0
changeable,0.49,0.48,0.528,0.0
changed,0.594,0.375,0.491,0.0
changer,0.583,0.519,0.567,0.0
changing,0.571,0.569,0.461,0.0
channel,0.49,0.287,0.405,0.0
chant,0.771,0.698,0.65,0.0
chaos,0.016,0.923,0.373,0.0
chaotic,0.115,0.847,0.442,0.0
chap,0.55,0.41,0.345,0.0
chapel,0.573,0.24,0.44,0.0
chaperon,0.5,0.52,0.404,0.0
chaplain,0.582,0.37,0.577,0.523
chapman,0.562,0.529,0.465,0.0
chaps,0.35,0.462,0.35,0.0
chapter,0.58,0.308,0.461,0.0
char,0.554,0.361,0.404,0.0
character,0.667,0.373,0.686,0.0
characteristic,0.583,0.328,0.538,0.0
characterize,0.729,0.471,0.735,0.0
charade,0.458,0.55,0.346,0.0
charcoal,0.302,0.186,0.342,0.0
chardonnay,0.677,0.567,0.492,0.0
charge,0.51,0.633,0.785,0.0
chargeable,0.551,0.55,0.453,0.0
charger,0.531,0.418,0.545,0.0
chariot,0.684,0.55,0.491,0.0
charisma,0.938,0.591,0.759,0.0
charismatic,0.938,0.684,0.849,0.0
charitable,0.865,0.38,0.593,0.711
charity,0.92,0.284,0.551,0.0
charlatan,0.2,0.64,0.352,0.0
charm,0.833,0.363,0.649,0.0
charmed,0.938,0.57,0.769,0.0
charmer,0.882,0.683,0.782,0.0
charming,0.917,0.66,0.764,0.0
charred,0.208,0.676,0.373,0.0
chart,0.469,0.317,0.33,0.453
charter,0.677,0.382,0.518,0.0
chartered,0.569,0.46,0.49,0.0
chase,0.396,0.878,0.623,0.0
chased,0.188,0.83,0.287,0.0
chaser,0.375,0.83,0.645,0.0
chasm,0.265,0.579,0.5,0.0
chassis,0.406,0.342,0.444,0.0
chaste,0.408,0.248,0.453,0.0
chastened,0.156,0.58,0.345,0.0
chastisement,0.156,0.852,0.462,0.0
chastity,0.469,0.392,0.509,0.539
chat,0.729,0.4,0.346,0.0
chateau,0.615,0.464,0.702,0.0
chatter,0.56,0.45,0.347,0.0
chatterbox,0.459,0.548,0.482,0.0
chattering,0.46,0.663,0.304,0.0
chatty,0.594,0.548,0.345,0.0
chauffeur,0.5,0.353,0.471,0.0
chauvinist,0.31,0.539,0.527,0.0
cheap,0.612,0.471,0.272,0.0
cheapened,0.471,0.611,0.282,0.0
cheapskate,0.148,0.482,0.327,0.0
cheat,0.125,0.776,0.4,0.0
cheater,0.104,0.92,0.333,0.0
check,0.523,0.552,0.602,0.0
checkbook,0.552,0.284,0.364,0.0
checker,0.33,0.417,0.553,0.0
checkered,0.459,0.316,0.336,0.0
checkers,0.676,0.451,0.437,0.0
checklist,0.561,0.521,0.552,0.586
checkmate,0.667,0.708,0.75,0.0
checkout,0.597,0.51,0.67,0.0
checkpoint,0.571,0.323,0.812,0.0
checkup,0.5,0.435,0.491,0.0
cheek,0.67,0.314,0.421,0.0
cheeks,0.708,0.324,0.282,0.0
cheeky,0.434,0.679,0.41,0.0
cheep,0.367,0.38,0.373,0.0
cheer,0.938,0.784,0.845,0.547
cheered,0.875,0.648,0.79,0.0
cheerful,0.99,0.72,0.696,0.0
cheerfulness,0.969,0.802,0.675,0.578
cheering,0.815,0.824,0.642,0.0
cheerleader,0.923,0.746,0.657,0.0
cheerleading,0.698,0.769,0.404,0.0
cheerless,0.204,0.373,0.167,0.0
cheers,0.948,0.77,0.702,0.0
cheery,0.949,0.657,0.486,0.0
cheese,0.74,0.28,0.281,0.0
cheeseburger,0.802,0.529,0.336,0.0
cheesecake,0.86,0.276,0.238,0.0
cheesy,0.47,0.471,0.179,0.0
cheetah,0.469,0.77,0.667,0.0
chef,0.854,0.411,0.57,0.0
chemical,0.337,0.56,0.508,0.0
chemise,0.53,0.275,0.364,0.0
chemist,0.408,0.575,0.61,0.445
chemistry,0.625,0.52,0.694,0.0
chemo,0.214,0.686,0.444,0.0
chemotherapy,0.163,0.689,0.517,0.0
cheque,0.698,0.529,0.66,0.0
cherish,0.896,0.491,0.652,0.617
cherishing,0.836,0.38,0.625,0.0
cherry,0.688,0.186,0.25,0.0
cherub,0.663,0.34,0.455,0.0
chess,0.656,0.363,0.518,0.0
chest,0.52,0.429,0.481,0.0
chestnut,0.714,0.21,0.294,0.0
chevron,0.469,0.469,0.598,0.0
chew,0.52,0.49,0.404,0.0
chewy,0.625,0.418,0.39,0.0
chic,0.87,0.624,0.38,0.0
chicane,0.357,0.46,0.481,0.289
chick,0.771,0.602,0.387,0.0
chicken,0.594,0.306,0.394,0.0
chicken pox,0.194,0.51,0.415,0.0
chickenpox,0.173,0.562,0.357,0.0
chief,0.52,0.544,0.869,0.0
chiefly,0.6,0.587,0.764,0.0
chieftain,0.343,0.529,0.86,0.0
chiffon,0.406,0.23,0.25,0.0
child,0.912,0.46,0.413,0.0
childbirth,0.604,0.861,0.673,0.0
childhood,0.865,0.413,0.307,0.0
childish,0.573,0.442,0.23,0.0
childless,0.31,0.4,0.396,0.0
childlike,0.656,0.372,0.293,0.0
childloss,0.24,0.571,0.421,0.0
children,0.857,0.538,0.435,0.0
chili,0.592,0.566,0.433,0.0
chill,0.837,0.206,0.482,0.0
chilled,0.521,0.34,0.482,0.0
chilling,0.208,0.85,0.358,0.0
chilly,0.329,0.459,0.408,0.0
chime,0.573,0.541,0.464,0.0
chimera,0.292,0.582,0.372,0.0
chimes,0.625,0.49,0.402,0.0
chimney,0.583,0.286,0.225,0.0
chimp,0.394,0.588,0.345,0.0
chimpanzee,0.5,0.633,0.387,0.0
chin,0.571,0.31,0.269,0.0
china,0.561,0.443,0.556,0.0
chinchilla,0.48,0.45,0.286,0.0
chine,0.561,0.36,0.352,0.0
chinook,0.408,0.497,0.491,0.0
chip,0.479,0.382,0.452,0.0
chipmunk,0.573,0.562,0.409,0.0
chipper,0.418,0.588,0.5,0.0
chipping,0.354,0.452,0.353,0.0
chiropractor,0.42,0.549,0.651,0.0
chirp,0.469,0.602,0.365,0.0
chirping,0.5,0.463,0.36,0.0
chisel,0.469,0.404,0.452,0.0
chiseler,0.429,0.606,0.464,0.0
chit,0.49,0.352,0.321,0.0
chitchat,0.673,0.455,0.403,0.0
chivalry,0.857,0.38,0.848,0.0
chloride,0.265,0.387,0.474,0.0
chlorine,0.306,0.327,0.332,0.0
chloroform,0.281,0.37,0.393,0.0
chocolate,0.885,0.48,0.418,0.445
choice,0.745,0.52,0.664,0.0
choir,0.704,0.298,0.473,0.414
choke,0.167,0.788,0.676,0.0
cholera,0.02,0.867,0.507,0.0
cholesterol,0.198,0.583,0.398,0.0
choose,0.615,0.542,0.648,0.0
choosing,0.719,0.529,0.689,0.0
choosy,0.28,0.76,0.712,0.0
chop,0.25,0.655,0.467,0.0
chopper,0.594,0.56,0.509,0.0
choppers,0.469,0.745,0.691,0.0
chopping,0.56,0.625,0.362,0.0
chops,0.612,0.42,0.269,0.0
choral,0.852,0.29,0.421,0.0
chord,0.729,0.394,0.539,0.0
chords,0.639,0.406,0.388,0.0
chore,0.406,0.462,0.5,0.0
choreographer,0.646,0.639,0.625,0.0
choreography,0.812,0.75,0.547,0.0
chorus,0.62,0.417,0.5,0.0
chosen,0.865,0.449,0.833,0.0
chow,0.573,0.49,0.39,0.0
chowder,0.51,0.324,0.241,0.0
christ,0.781,0.51,0.75,0.0
christen,0.673,0.356,0.588,0.0
christening,0.725,0.382,0.65,0.0
christmas,0.959,0.52,0.741,0.0
christmasbreak,0.842,0.64,0.548,0.0
christmaseve,0.812,0.491,0.463,0.0
christmasspirit,0.867,0.602,0.575,0.0
christmassy,0.875,0.698,0.602,0.0
christmastime,0.837,0.588,0.515,0.0
chromatic,0.407,0.413,0.435,0.0
chromatography,0.48,0.537,0.535,0.0
chrome,0.582,0.373,0.421,0.0
chromium,0.458,0.404,0.447,0.0
chromosome,0.5,0.296,0.548,0.0
chronic,0.255,0.615,0.464,0.0
chronicle,0.427,0.571,0.586,0.539
chronograph,0.5,0.392,0.529,0.0
chronological,0.594,0.445,0.6,0.0
chubby,0.531,0.427,0.304,0.273
chuck,0.542,0.509,0.413,0.0
chuckle,0.844,0.736,0.481,0.219
chug,0.401,0.413,0.358,0.0
chum,0.911,0.347,0.518,0.0
chummy,0.76,0.42,0.61,0.0
chump,0.375,0.451,0.304,0.0
chunk,0.365,0.287,0.214,0.0
chunky,0.52,0.517,0.509,0.0
church,0.708,0.198,0.61,0.492
churchyard,0.296,0.444,0.347,0.0
churn,0.316,0.491,0.407,0.0
chute,0.58,0.745,0.455,0.0
chutney,0.459,0.37,0.4,0.0
ciao,0.542,0.426,0.409,0.0
cider,0.53,0.346,0.398,0.0
cigar,0.306,0.463,0.346,0.0
cigarette,0.219,0.528,0.304,0.0
cilantro,0.469,0.26,0.208,0.0
cinch,0.45,0.49,0.387,0.0
cinder,0.35,0.26,0.157,0.0
cinema,0.698,0.538,0.5,0.0
cinematic,0.663,0.49,0.6,0.0
cinematographer,0.792,0.455,0.711,0.0
cinematography,0.781,0.571,0.625,0.0
cinnamon,0.6,0.25,0.292,0.0
cipher,0.49,0.414,0.5,0.0
circle,0.48,0.29,0.343,0.43
circling,0.51,0.654,0.336,0.0
circuit,0.586,0.461,0.707,0.0
circuitry,0.596,0.615,0.536,0.0
circular,0.562,0.342,0.417,0.0
circulate,0.612,0.388,0.32,0.0
circulation,0.735,0.52,0.657,0.0
circulatory,0.592,0.575,0.545,0.0
circumcision,0.327,0.657,0.528,0.0
circumference,0.458,0.255,0.488,0.0
circumferential,0.551,0.422,0.509,0.0
circumscribed,0.365,0.539,0.569,0.0
circumstance,0.52,0.565,0.596,0.0
circumstances,0.562,0.527,0.464,0.359
circumstantial,0.5,0.538,0.519,0.0
circumvent,0.316,0.642,0.383,0.0
circumvention,0.531,0.571,0.473,0.0
circus,0.724,0.637,0.432,0.0
cirque,0.604,0.647,0.467,0.0
cirrhosis,0.079,0.602,0.37,0.0
cirrus,0.47,0.451,0.348,0.0
cistern,0.541,0.413,0.432,0.0
citadel,0.585,0.464,0.602,0.0
citation,0.57,0.549,0.508,0.0
cite,0.625,0.454,0.532,0.0
citizen,0.631,0.25,0.586,0.0
citizenship,0.786,0.404,0.723,0.0
citrine,0.375,0.4,0.42,0.0
citrus,0.469,0.368,0.375,0.0
city,0.847,0.531,0.508,0.0
citywide,0.592,0.509,0.707,0.0
civic,0.653,0.24,0.573,0.0
civics,0.7,0.279,0.72,0.0
civil,0.521,0.281,0.517,0.0
civilian,0.7,0.229,0.598,0.0
civilians,0.49,0.448,0.525,0.0
civility,0.76,0.306,0.679,0.0
civilization,0.823,0.452,0.839,0.609
civilized,0.792,0.231,0.796,0.625
clad,0.583,0.373,0.481,0.0
claim,0.255,0.76,0.473,0.0
claimant,0.271,0.69,0.779,0.0
clairvoyant,0.765,0.531,0.897,0.0
clam,0.442,0.302,0.272,0.0
clambake,0.542,0.54,0.429,0.0
clammy,0.354,0.44,0.236,0.0
clamor,0.438,0.643,0.36,0.0
clamp,0.541,0.388,0.454,0.0
clan,0.562,0.491,0.686,0.398
clandestine,0.425,0.677,0.469,0.0
clang,0.459,0.52,0.51,0.0
clap,0.779,0.731,0.529,0.344
clapper,0.5,0.229,0.42,0.0
clapping,0.823,0.894,0.686,0.375
clarification,0.802,0.461,0.613,0.0
clarify,0.652,0.535,0.625,0.0
clarinet,0.592,0.453,0.411,0.0
clarion,0.5,0.443,0.422,0.0
clarity,0.796,0.31,0.631,0.0
clash,0.293,0.918,0.453,0.0
clashing,0.177,0.764,0.575,0.0
clasp,0.448,0.375,0.241,0.0
class,0.656,0.314,0.522,0.0
classic,0.69,0.26,0.611,0.0
classic rock,0.729,0.571,0.588,0.0
classical,0.643,0.198,0.536,0.0
classics,0.75,0.333,0.51,0.0
classification,0.583,0.423,0.613,0.0
classified,0.571,0.46,0.663,0.0
classify,0.646,0.411,0.72,0.0
classmate,0.781,0.4,0.593,0.0
classroom,0.539,0.292,0.363,0.0
classy,0.917,0.41,0.649,0.0
clatter,0.418,0.82,0.387,0.0
clause,0.48,0.409,0.528,0.0
clauses,0.449,0.429,0.545,0.0
claustrophobia,0.125,0.84,0.333,0.0
claustrophobic,0.092,0.755,0.4,0.0
clavicle,0.398,0.4,0.452,0.0
claw,0.26,0.6,0.598,0.0
claws,0.281,0.698,0.562,0.0
clay,0.542,0.25,0.267,0.0
clean,0.827,0.17,0.5,0.484
cleaner,0.604,0.556,0.375,0.0
cleaning,0.595,0.396,0.427,0.0
cleanliness,0.816,0.363,0.609,0.0
cleanly,0.823,0.352,0.583,0.0
cleanse,0.625,0.31,0.66,0.0
cleanser,0.604,0.353,0.433,0.0
cleansing,0.729,0.298,0.472,0.0
cleanup,0.729,0.314,0.451,0.0
clear,0.857,0.327,0.573,0.0
clearance,0.542,0.459,0.473,0.398
clearing,0.68,0.333,0.509,0.0
clearness,0.875,0.316,0.689,0.0
cleat,0.486,0.26,0.361,0.0
cleavage,0.542,0.602,0.454,0.0
cleave,0.296,0.545,0.389,0.0
cleaver,0.24,0.627,0.434,0.0
clef,0.615,0.36,0.595,0.0
cleft,0.306,0.442,0.36,0.0
clemency,0.594,0.417,0.397,0.0
clench,0.438,0.618,0.58,0.0
clergy,0.531,0.312,0.575,0.0
clergyman,0.594,0.33,0.556,0.0
cleric,0.521,0.324,0.589,0.0
clerical,0.52,0.396,0.491,0.32
clerk,0.5,0.579,0.509,0.0
clerkship,0.582,0.38,0.596,0.0
clever,0.896,0.353,0.729,0.0
cleverness,0.878,0.509,0.921,0.0
click,0.536,0.365,0.268,0.0
clicker,0.418,0.49,0.463,0.0
client,0.583,0.45,0.618,0.0
clientele,0.625,0.577,0.508,0.0
cliff,0.361,0.62,0.509,0.0
climate,0.635,0.24,0.483,0.0
climatology,0.531,0.367,0.541,0.0
climax,0.735,0.853,0.667,0.398
climb,0.615,0.66,0.604,0.0
climber,0.573,0.716,0.735,0.0
clinch,0.469,0.538,0.43,0.0
cling,0.417,0.62,0.588,0.0
clingy,0.224,0.46,0.37,0.0
clinic,0.469,0.439,0.6,0.0
clinical,0.337,0.412,0.64,0.0
clink,0.458,0.462,0.319,0.0
clip,0.438,0.31,0.381,0.0
clipboard,0.594,0.255,0.423,0.0
clipper,0.293,0.422,0.383,0.0
clipping,0.46,0.5,0.405,0.0
clique,0.427,0.43,0.391,0.0
clitoris,0.625,0.844,0.464,0.0
cloak,0.469,0.188,0.333,0.0
cloaking,0.521,0.595,0.389,0.0
cloakroom,0.69,0.254,0.397,0.0
clobber,0.396,0.578,0.464,0.0
clock,0.677,0.173,0.407,0.0
clockwork,0.49,0.373,0.528,0.0
clod,0.375,0.404,0.365,0.0
clog,0.104,0.618,0.454,0.0
cloister,0.438,0.413,0.475,0.0
clone,0.406,0.471,0.524,0.0
cloning,0.216,0.696,0.679,0.0
close,0.292,0.26,0.263,0.0
closed,0.24,0.164,0.318,0.0
closeness,0.796,0.237,0.45,0.719
closet,0.531,0.204,0.33,0.0
closure,0.229,0.22,0.412,0.0
clot,0.15,0.558,0.275,0.0
cloth,0.51,0.19,0.287,0.0
clothe,0.797,0.33,0.481,0.0
clothes,0.833,0.27,0.414,0.0
clothesline,0.582,0.324,0.366,0.0
clothing,0.75,0.343,0.407,0.0
cloud,0.74,0.133,0.342,0.0
clouded,0.24,0.213,0.302,0.0
cloudiness,0.469,0.25,0.343,0.0
clouds,0.735,0.195,0.324,0.0
cloudy,0.281,0.28,0.202,0.0
clout,0.584,0.636,0.704,0.0
clove,0.439,0.296,0.315,0.0
clover,0.605,0.34,0.364,0.0
cloves,0.427,0.218,0.396,0.0
clown,0.65,0.598,0.3,0.0
clowns,0.6,0.673,0.391,0.0
club,0.646,0.618,0.393,0.0
clubhouse,0.694,0.571,0.493,0.0
clubs,0.723,0.53,0.591,0.0
cluck,0.39,0.49,0.353,0.0
clue,0.653,0.38,0.412,0.0
clueless,0.35,0.333,0.161,0.0
clump,0.551,0.48,0.582,0.0
clumsy,0.125,0.42,0.144,0.0
clunk,0.448,0.472,0.407,0.0
cluster,0.49,0.458,0.446,0.0
clutch,0.383,0.5,0.491,0.0
clutches,0.542,0.373,0.528,0.0
clutter,0.135,0.598,0.4,0.0
coach,0.633,0.823,0.735,0.555
coachman,0.479,0.394,0.509,0.0
coagulation,0.381,0.558,0.436,0.0
coal,0.36,0.241,0.34,0.0
coalesce,0.479,0.434,0.529,0.555
coalition,0.49,0.73,0.673,0.0
coarse,0.333,0.481,0.481,0.0
coast,0.719,0.396,0.458,0.0
coastal,0.604,0.37,0.51,0.0
coaster,0.612,0.788,0.627,0.0
coastline,0.745,0.282,0.441,0.0
coat,0.677,0.256,0.464,0.0
coating,0.62,0.44,0.596,0.0
coax,0.367,0.4,0.447,0.203
cobalt,0.408,0.325,0.441,0.0
cobble,0.448,0.385,0.368,0.0
cobbler,0.51,0.415,0.318,0.0
cobra,0.312,0.712,0.6,0.0
cocaine,0.156,0.84,0.373,0.0
cock,0.418,0.562,0.392,0.0
cockamamie,0.45,0.5,0.382,0.0
cockeyed,0.459,0.46,0.423,0.0
cockpit,0.52,0.424,0.343,0.0
cockroach,0.188,0.667,0.196,0.0
cocksucker,0.083,0.764,0.339,0.0
cocktail,0.74,0.48,0.381,0.0
cocky,0.26,0.784,0.519,0.0
cocoa,0.776,0.255,0.322,0.0
coconut,0.622,0.265,0.227,0.0
cocoon,0.47,0.28,0.29,0.0
cod,0.51,0.321,0.304,0.0
code,0.583,0.308,0.491,0.0
codeine,0.375,0.582,0.436,0.0
codex,0.531,0.488,0.524,0.0
codfish,0.49,0.245,0.3,0.0
codification,0.448,0.4,0.698,0.0
codify,0.448,0.41,0.679,0.0
coding,0.442,0.344,0.667,0.0
coed,0.469,0.531,0.481,0.0
coefficient,0.677,0.415,0.702,0.0
coerce,0.26,0.741,0.517,0.0
coercion,0.33,0.708,0.577,0.0
coercive,0.479,0.67,0.506,0.0
coexist,0.708,0.46,0.536,0.641
coexistence,0.588,0.472,0.638,0.0
coexisting,0.551,0.349,0.648,0.578
coffee,0.823,0.418,0.309,0.0
coffee table,0.72,0.339,0.295,0.0
coffeehouse,0.694,0.357,0.307,0.0
coffeepot,0.76,0.333,0.312,0.0
coffin,0.073,0.432,0.343,0.0
cog,0.427,0.343,0.363,0.0
cogent,0.765,0.479,0.836,0.414
cognac,0.615,0.51,0.43,0.0
cognate,0.615,0.35,0.398,0.0
cognition,0.635,0.344,0.706,0.0
cognitive,0.513,0.401,0.634,0.0
cohabitation,0.646,0.526,0.598,0.0
coherence,0.72,0.406,0.788,0.0
coherent,0.698,0.281,0.5,0.0
cohesion,0.604,0.536,0.555,0.562
cohesive,0.531,0.47,0.603,0.672
cohort,0.459,0.551,0.566,0.0
coil,0.448,0.343,0.298,0.0
coiled,0.378,0.518,0.389,0.0
coin,0.677,0.574,0.445,0.0
coinage,0.5,0.4,0.545,0.0
coincide,0.635,0.49,0.593,0.0
coincidence,0.612,0.45,0.518,0.0
coincident,0.562,0.385,0.602,0.0
coincidental,0.646,0.481,0.337,0.0
coinciding,0.673,0.373,0.623,0.0
coke,0.404,0.461,0.397,0.0
cola,0.469,0.325,0.24,0.0
cold,0.398,0.538,0.348,0.0
coldly,0.365,0.358,0.407,0.0
coldness,0.093,0.47,0.427,0.0
coldsweat,0.427,0.491,0.327,0.0
coleslaw,0.707,0.312,0.336,0.0
colic,0.135,0.736,0.361,0.0
coliseum,0.612,0.663,0.704,0.0
collaborate,0.816,0.449,0.559,0.0
collaboration,0.885,0.628,0.741,0.0
collaborator,0.729,0.32,0.769,0.57
collage,0.68,0.321,0.375,0.0
collagen,0.541,0.245,0.45,0.0
collapse,0.208,0.689,0.342,0.0
collar,0.656,0.442,0.446,0.0
collarbone,0.42,0.427,0.306,0.0
collate,0.438,0.448,0.58,0.0
collateral,0.531,0.422,0.717,0.367
collation,0.52,0.333,0.508,0.0
colleague,0.74,0.413,0.6,0.0
collect,0.635,0.481,0.491,0.0
collected,0.57,0.402,0.588,0.0
collection,0.725,0.311,0.588,0.0
collective,0.583,0.458,0.698,0.0
collectively,0.817,0.573,0.533,0.586
collector,0.552,0.481,0.648,0.0
college,0.7,0.467,0.746,0.0
collegiate,0.592,0.461,0.678,0.0
collide,0.271,0.892,0.557,0.0
collie,0.562,0.308,0.328,0.0
collision,0.245,0.848,0.585,0.0
collocation,0.637,0.36,0.594,0.0
colloquial,0.604,0.363,0.368,0.0
collusion,0.365,0.51,0.4,0.0
cologne,0.677,0.413,0.552,0.0
colon,0.449,0.394,0.384,0.0
colonel,0.459,0.592,0.89,0.484
colonial,0.553,0.327,0.613,0.0
colonic,0.333,0.42,0.43,0.0
colonoscopy,0.208,0.524,0.466,0.0
colony,0.716,0.353,0.593,0.0
colophon,0.5,0.408,0.385,0.0
color,0.786,0.28,0.402,0.0
coloration,0.541,0.52,0.443,0.0
colored,0.806,0.317,0.275,0.0
colorful,0.85,0.52,0.519,0.0
coloring,0.781,0.469,0.353,0.0
colorless,0.354,0.34,0.25,0.0
colors,0.875,0.349,0.34,0.0
colossal,0.698,0.692,0.9,0.0
colt,0.561,0.587,0.543,0.0
columbine,0.52,0.521,0.407,0.0
column,0.48,0.25,0.67,0.0
columnar,0.448,0.34,0.491,0.0
columnist,0.646,0.365,0.648,0.0
com,0.396,0.382,0.382,0.0
coma,0.219,0.255,0.302,0.0
comatose,0.143,0.438,0.433,0.0
comb,0.49,0.123,0.268,0.0
combat,0.302,0.846,0.833,0.0
combatant,0.531,0.853,0.78,0.0
combative,0.381,0.69,0.816,0.0
combination,0.708,0.48,0.726,0.0
combinatorial,0.561,0.436,0.428,0.0
combine,0.663,0.442,0.533,0.0
combined,0.622,0.37,0.5,0.0
combo,0.698,0.439,0.453,0.0
combustible,0.386,0.65,0.75,0.0
combustion,0.457,0.807,0.591,0.0
come,0.529,0.269,0.558,0.0
comeback,0.58,0.409,0.555,0.0
comedian,0.812,0.735,0.598,0.0
comedy,0.918,0.555,0.49,0.0
comet,0.704,0.679,0.471,0.0
comfort,0.863,0.231,0.67,0.609
comfortable,0.927,0.163,0.473,0.0
comforter,0.618,0.275,0.302,0.0
comforting,0.906,0.337,0.62,0.0
comfy,0.93,0.241,0.625,0.0
comic,0.917,0.459,0.387,0.0
comical,0.844,0.737,0.327,0.0
comics,0.69,0.556,0.384,0.0
coming,0.653,0.417,0.5,0.0
comma,0.344,0.269,0.242,0.0
command,0.427,0.79,0.849,0.0
commandant,0.622,0.7,0.943,0.578
commandeer,0.552,0.639,0.931,0.0
commander,0.531,0.615,0.906,0.0
commanding,0.562,0.664,0.925,0.547
commandment,0.656,0.49,0.876,0.0
commando,0.323,0.71,0.817,0.0
commemorate,0.812,0.602,0.636,0.0
commemoration,0.719,0.615,0.754,0.0
commemorative,0.75,0.438,0.754,0.0
